timestamp_us,raw,grams
10049860,313989,124.9816
10152616,313918,124.9534
10255372,313929,124.9577
10358132,313940,124.9621
10460896,313962,124.9709
10563656,313980,124.978
10666420,313968,124.9733
10769180,313936,124.9605
10871944,313980,124.978
10974752,313967,124.9729
11077508,314014,124.9916
11180264,314019,124.9936
11283024,313984,124.9796
11385828,313907,124.949
11488656,313991,124.9824
11591452,314071,125.0143
11694204,314017,124.9928
11796980,313973,124.9753
11899772,313923,124.9553
12002536,314003,124.9872
12105348,314019,124.9936
12208148,314043,125.0031
12310956,314078,125.017
12413756,314060,125.0099
12516516,314056,125.0083
12619312,313975,124.976
12722124,313955,124.9681
12824884,313970,124.9741
12927688,314025,124.996
13030488,314122,125.0346
13133252,314167,125.0525
13236048,314045,125.0039
13338864,314003,124.9872
13441632,314046,125.0043
13544432,313934,124.9597
13647224,313923,124.9553
13750032,314036,125.0003
13852784,314018,124.9932
13955540,314013,124.9912
14058312,314030,124.9979
14161064,313986,124.9804
14263828,313990,124.982
14366632,313952,124.9669
14469388,313953,124.9673
14572152,313964,124.9717
14674912,313952,124.9669
14777668,313956,124.9685
14880436,313991,124.9824
14983192,314030,124.9979
15085960,314008,124.9892
15188760,313994,124.9836
15291564,313992,124.9828
15394332,313997,124.9848
15497100,313985,124.98
15599904,314011,124.9904
15702664,314046,125.0043
15805424,314076,125.0162
15908192,313952,124.9669
16010960,314027,124.9967
16113772,314003,124.9872
16216532,314073,125.0151
16319296,314037,125.0007
16422116,313980,124.978
16524944,314057,125.0087
16627720,314557,125.2077
16730512,316087,125.8167
16833328,335310,133.4683
16936088,413050,164.4123
17038844,457257,182.0087
17141604,396610,157.8684
17244412,372430,148.2437
17347164,367353,146.2229
17449996,363668,144.7561
17552788,364641,145.1434
17655596,365797,145.6035
17758392,364063,144.9133
17861204,362590,144.327
17963956,364233,144.981
18066724,364381,145.0399
18169488,362965,144.4762
18272300,362228,144.1829
18375112,363270,144.5977
18477908,364257,144.9905
18580720,362925,144.4603
18683480,360648,143.554
18786236,360647,143.5536
18889036,360095,143.3339
18991852,343932,136.9003
19094652,319973,127.3635
19197476,315409,125.5468
19300252,315207,125.4664
19403044,315094,125.4215
19505808,315043,125.4012
19608560,314884,125.3379
19711368,314780,125.2965
19814128,314798,125.3036
19916888,314801,125.3048
20019696,314793,125.3016
20122444,314843,125.3216
20225220,314820,125.3124
20327980,314738,125.2798
20430784,314788,125.2997
20533592,314757,125.2873
20636356,314867,125.3311
20739112,314875,125.3343
20841928,314729,125.2762
20944736,314763,125.2897
21047548,314853,125.3255
21150336,314876,125.3347
21253144,314933,125.3574
21355904,314928,125.3554
21458664,314845,125.3223
21561472,314744,125.2821
21664232,314779,125.2961
21767044,314761,125.2889
21869796,314764,125.2901
21972604,314788,125.2997
22075412,314781,125.2969
22178184,314797,125.3032
22280936,314774,125.2941
22383740,314698,125.2638
22486504,314801,125.3048
22589272,314837,125.3192
22692028,314752,125.2853
22794780,314726,125.275
22897552,314787,125.2993
23000308,314724,125.2742
23103072,314768,125.2917
23205908,314738,125.2798
23308676,314842,125.3211
23411436,314867,125.3311
23514248,314773,125.2937
23617068,314803,125.3056
23719816,314830,125.3164
23822644,314881,125.3367
23925404,314830,125.3164
24028172,314778,125.2957
24130948,314827,125.3152
24233704,314793,125.3016
24336520,316741,126.077
24439332,359817,143.2232
24542144,358629,142.7503
24644908,307843,122.5352
24747676,307546,122.417
24850444,316740,126.0766
24953208,327782,130.4718
25055968,333082,132.5815
25158768,331733,132.0445
25261528,330862,131.6978
25364348,330656,131.6158
25467104,330565,131.5796
25569868,330614,131.5991
25672632,330624,131.6031
25775400,330594,131.5911
25878212,330614,131.5991
25981012,330705,131.6353
26083768,330742,131.6501
26186588,330747,131.652
26289396,330684,131.627
26392216,330724,131.6429
26495024,330733,131.6465
26597784,330759,131.6568
26700548,330759,131.6568
26803364,330725,131.6433
26906116,330816,131.6795
27008896,330738,131.6485
27111648,330742,131.6501
27214468,330699,131.6329
27317240,330775,131.6632
27420044,330848,131.6922
27522812,330872,131.7018
27625572,330828,131.6843
27728388,330768,131.6604
27831204,330893,131.7102
27933972,331108,131.7957
28036728,330891,131.7094
28139548,330817,131.6799
28242320,330821,131.6815
28345128,330901,131.7133
28447892,330956,131.7352
28550648,330899,131.7126
28653420,330819,131.6807
28756228,330768,131.6604
28858988,330791,131.6696
28961760,330835,131.6871
29064520,330811,131.6775
29167284,330838,131.6883
29270056,330842,131.6899
29372856,330825,131.6831
29475636,330861,131.6974
29578396,330894,131.7106
29681172,330855,131.695
29783984,330865,131.699
29886748,330918,131.7201
